time_window,n_articles,left_articles,right_articles,labels,first_date,last_date,stream_source,stream_group,time_window_code,time_window_name,stream_family,sampling
2024-12-09,90,15,75,"0,1",2024-12-09 00:00:00,2024-12-15 22:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-12-16,117,21,96,"0,1",2024-12-16 00:30:00,2024-12-22 23:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-12-23,74,6,68,"0,1",2024-12-23 10:15:00,2024-12-29 22:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2024-12-30,135,9,126,"0,1",2024-12-30 00:45:00,2025-01-05 20:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-01-06,101,18,83,"0,1",2025-01-06 18:30:00,2025-01-12 18:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-01-13,103,15,88,"0,1",2025-01-13 12:45:00,2025-01-19 20:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-01-20,141,24,117,"0,1",2025-01-20 14:30:00,2025-01-26 22:00:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-01-27,154,15,139,"0,1",2025-01-27 03:00:00,2025-02-02 21:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-02-03,147,27,120,"0,1",2025-02-03 00:00:00,2025-02-09 23:30:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-02-10,95,19,76,"0,1",2025-02-10 12:00:00,2025-02-16 21:45:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
2025-02-17,59,7,52,"0,1",2025-02-17 16:30:00,2025-02-19 23:15:00,mixed_raw,mixed_raw_weekly,W,weekly,mixed,raw
